4/12/2023,4/13/2023,4/14/2023,4/15/2023,4/16/2023,4/17/2023,4/18/2023,4/19/2023,4/20/2023,4/21/2023,4/22/2023,4/23/2023,4/24/2023,4/25/2023,4/26/2023,4/27/2023,4/28/2023,4/29/2023,4/30/2023,5/1/2023,5/2/2023,5/3/2023,5/4/2023,5/5/2023,5/6/2023,5/7/2023,5/8/2023,5/9/2023,5/10/2023,5/11/2023,5/12/2023,5/13/2023,5/14/2023,5/15/2023,5/16/2023,5/17/2023,5/18/2023,5/19/2023,5/20/2023,5/21/2023,5/22/2023,5/23/2023,5/24/2023,5/25/2023,5/26/2023,5/27/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/2/2023,6/3/2023,6/4/2023,6/5/2023,6/6/2023,6/7/2023,6/8/2023,6/9/2023,6/10/2023,6/11/2023
0.06,0.06,0.06,0.06,0.00,4.03,1.98,3.65,2.82,0.32,0.58,7.36,0.90,0.32,4.61,0.26,0.26,0.32,0.32,1.66,0.26,0.26,0.26,1.54,0.19,0.64,0.58,5.82,2.18,0.26,0.26,0.38,0.45,2.62,0.38,0.32,2.37,3.58,0.19,3.14,5.06,8.58,9.15,0.19,0.38,2.82,4.42,6.78,5.76,0.19,3.01,0.26,0.32,0.32,1.54,0.64,1.98,0.38,2.37,0.26,0.51
0.06,0.06,0.06,0.06,0.00,5.12,2.11,3.52,2.69,0.32,0.32,7.10,0.32,0.32,2.11,0.06,0.26,0.45,0.32,0.13,0.26,0.26,0.26,1.02,0.19,3.14,0.51,7.42,0.51,0.26,0.26,0.38,0.32,3.01,0.26,0.32,2.05,3.39,0.19,6.34,4.35,6.91,9.66,0.19,0.32,2.30,3.84,6.46,5.70,0.19,1.41,0.26,0.26,0.32,2.24,1.28,1.98,0.26,0.90,0.38,0.45
0.06,0.06,0.06,0.06,0.00,3.46,2.11,1.41,0.64,0.32,0.19,7.04,0.19,0.19,2.24,0.00,0.26,0.32,0.32,0.38,0.26,0.26,0.26,0.45,0.19,4.93,0.32,6.91,0.77,0.26,0.26,0.38,0.32,5.12,0.26,0.26,2.37,4.10,0.19,6.14,5.12,4.86,7.23,0.19,0.26,1.28,2.69,2.37,2.05,0.19,2.05,0.26,0.26,0.32,1.66,1.60,0.45,0.26,0.51,0.38,0.45
0.06,0.06,0.06,0.06,0.00,4.48,0.77,0.58,0.38,0.32,0.19,6.34,0.13,0.00,1.28,0.00,0.26,0.26,0.32,0.38,0.26,0.26,0.26,0.26,0.19,4.54,0.32,3.78,0.77,0.26,0.26,0.32,0.32,6.27,0.26,0.26,2.30,1.34,0.19,5.50,5.89,4.29,3.52,0.19,0.26,0.38,4.35,0.58,0.64,0.26,1.34,0.26,0.26,0.32,0.90,1.92,0.26,0.26,0.45,0.45,0.45
0.06,0.06,0.06,0.06,0.00,3.52,0.32,0.58,0.38,0.32,0.19,4.10,0.38,0.00,0.90,0.00,0.26,0.26,0.32,0.38,0.26,0.26,0.26,0.19,0.26,3.46,0.32,2.30,0.77,0.26,0.26,0.26,0.32,6.59,0.26,0.26,1.86,0.32,0.19,1.02,9.47,5.25,5.06,0.19,0.26,0.64,3.39,0.96,1.60,0.32,3.14,0.26,0.26,0.32,0.38,1.73,0.26,0.26,0.26,0.45,0.45
0.06,0.06,0.06,0.06,0.00,1.54,0.13,0.32,0.32,0.32,0.19,2.94,0.32,0.00,0.70,0.00,0.26,0.26,0.32,0.38,0.26,0.26,0.26,0.13,0.32,0.51,0.32,1.28,0.83,0.26,0.26,0.26,0.32,6.85,0.32,0.26,1.09,0.32,0.19,0.32,12.67,4.99,3.90,0.19,0.32,0.70,7.10,1.34,2.37,0.32,2.56,0.26,0.26,0.32,0.32,0.58,0.26,0.26,0.26,0.38,0.58
0.06,0.06,0.06,0.06,0.00,1.79,0.00,0.32,0.32,0.32,0.19,0.90,0.32,0.00,3.58,0.00,0.26,0.32,0.32,0.38,0.26,0.26,0.26,0.13,0.32,1.34,0.38,0.32,1.66,0.26,0.32,0.26,0.32,4.67,0.32,0.26,1.34,0.26,0.19,0.32,12.86,2.69,3.58,0.19,0.32,0.64,7.55,1.73,3.14,0.32,4.48,0.26,0.26,0.32,0.32,0.38,0.26,0.26,0.26,0.26,0.32
0.06,0.06,0.06,0.06,0.00,1.92,0.00,0.32,0.32,0.51,0.19,0.38,0.32,0.00,2.43,0.19,0.32,0.32,0.32,0.38,0.26,0.26,0.26,0.13,0.32,2.82,0.26,0.26,0.83,0.26,0.32,0.26,0.32,3.90,0.32,0.26,1.09,0.26,0.32,0.32,10.82,3.65,1.98,0.19,0.26,0.58,7.94,1.86,4.10,0.32,4.80,0.26,0.26,0.32,0.26,0.26,0.26,0.26,0.26,0.32,0.32
0.06,0.06,0.06,0.06,0.00,1.02,0.00,0.32,0.32,0.64,0.26,0.51,0.32,0.00,4.22,0.83,0.32,0.32,0.32,0.38,0.26,0.26,0.26,0.19,0.32,5.38,0.26,0.26,0.90,0.32,0.32,0.26,0.32,1.02,0.38,0.26,3.46,0.26,0.32,0.32,11.84,2.50,0.83,0.19,0.26,0.45,5.44,1.92,3.71,0.38,4.22,0.26,0.32,0.32,0.26,0.26,0.26,0.26,0.26,0.32,0.32
0.06,0.06,0.06,0.06,0.00,0.32,0.00,0.32,0.32,0.70,0.38,0.32,0.32,0.00,2.43,2.24,0.32,0.32,0.32,0.38,0.26,0.32,0.32,0.32,0.83,6.85,0.26,0.32,1.98,0.32,0.32,0.26,0.32,0.51,0.58,0.32,5.31,0.26,0.32,0.26,7.55,0.58,0.45,0.19,0.26,0.38,4.35,0.06,2.62,0.45,3.20,0.26,0.32,0.32,0.38,0.26,0.26,0.32,0.32,0.32,0.32
